Item_Weight,Item_Visibility,Item_MRP,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Item_Outlet_Sales_BOXCOX,Item_Fat_Content_Regular,Item_Type_Group2,Item_Type_Group3,Item_Type_Group4,Item_Type_Group5,Outlet_Identifier_OUT013,Outlet_Identifier_OUT017,Outlet_Identifier_OUT018,Outlet_Identifier_OUT019,Outlet_Identifier_OUT027,Outlet_Identifier_OUT035,Outlet_Identifier_OUT045,Outlet_Identifier_OUT046,Outlet_Identifier_OUT049,Outlet_Establishment_Year_1987,Outlet_Establishment_Year_1997,Outlet_Establishment_Year_1998,Outlet_Establishment_Year_1999,Outlet_Establishment_Year_2002,Outlet_Establishment_Year_2004,Outlet_Establishment_Year_2007,Outlet_Establishment_Year_2009,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_Visibility_SQRT
9.3,0.016047301,249.8092,2,3,3735.138,59.00425556326768,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.12667794204201455
5.92,0.019278216,48.2692,2,1,443.4228,24.528125125754244,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.13884601542716304
17.5,0.016760075,141.618,2,3,2097.27,46.73344453355861,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.12946070832495857
13.65,0.012741089,57.6588,3,1,343.5528,21.990537755392232,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.1128764324383084
11.94125,0.127469857,107.7622,2,1,4022.7636,60.788509986977694,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3570292102895784
16.2,0.016687114,96.9726,2,2,1076.5986,35.56656307018369,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.1291786127809089
19.2,0.09444959,187.8214,2,2,4710.535,64.75844786675842,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.3073265201703231
18.5,0.045463773,144.1102,1,3,2187.153,47.536689438021405,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.2132223557697457
15.1,0.1000135,145.4786,2,3,1589.2646,41.738463908453156,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.31624911067068634
17.6,0.047257328,119.6782,1,3,2145.2076,47.16441993724782,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.21738750654073938
16.35,0.0680243,196.4426,3,1,1977.426,45.62879372336491,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.2608146851693746
9.0,0.069088961,56.3614,1,3,1547.3192,41.28437148695656,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.26284779055567503
11.8,0.008596051,115.3492,2,1,1621.8888,42.08657480865534,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.09271489092912745
9.0,0.069196376,54.3614,2,3,718.3982,30.063787539046412,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.2630520404786855
11.94125,0.034237682,113.2834,2,1,2303.668,48.548269229437864,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.18503427250106938
13.35,0.10249212,230.5352,1,2,2748.4224,52.14401420746103,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.32014390514267177
18.85,0.138190277,250.8724,3,1,3775.086,59.25700792900276,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.3717395284335525
11.94125,0.035399923,144.5444,2,1,4064.0432,61.03807026746886,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1881486725969652
14.6,0.025698134,196.5084,1,2,1587.2672,41.71700877274398,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.16030637541907058
11.94125,0.057556998,107.6938,1,3,214.3876,17.909366077305034,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2399103957730886
13.85,0.025896485,165.021,1,3,4078.025,61.122245069653935,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.16092384845012875
13.0,0.099887103,45.906,1,2,838.908,32.0726341981332,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.31604920977594614
7.645,0.066693437,42.3112,1,2,1065.28,35.41163044724845,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.2582507250715862
11.65,0.019356132,39.1164,3,1,308.9312,21.005539704809124,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.13912631670535952
5.925,0.161466534,45.5086,3,1,178.4344,16.5104788176852,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.40182898601270667
11.94125,0.072221801,43.6454,1,3,125.8362,14.107088791070302,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2687411412493443
19.25,0.170348551,55.7956,1,1,163.7868,15.890784346574991,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.41273302630150643
18.6,0.080829372,96.4436,2,1,2741.7644,52.0929357165843,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.28430506854433674
17.5,0.097904029,174.8738,1,3,2085.2856,46.624755937884935,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.31289619524692214
10.0,0.089291137,146.7102,2,3,3791.0652,59.35764813825889,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.2988162261323839
11.94125,0.059511812,128.0678,2,1,2797.6916,52.51965073366949,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2439504293908908
8.85,0.113123893,122.5388,2,1,1609.9044,41.95920219761896,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.336338955519577
11.94125,0.123111453,36.9874,2,1,388.1614,23.173460994886575,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.35087241698372357
11.94125,0.026480954,87.6198,2,1,2180.495,47.47789404936532,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.16272969612212762
13.35,0.102511504,230.6352,1,3,3435.528,57.05333394541532,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.3201741775971323
9.8,0.02681843,126.002,3,1,2150.534,47.21193899833772,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.1637633353348667
13.6,0.117818348,192.9136,2,3,2527.3768,50.40564053468244,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.34324677420188526
21.35,0.069102831,259.9278,2,1,6768.5228,74.84272855733312,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.2628741733225233
12.15,0.042277867,126.5046,3,1,373.5138,22.79471943193232,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.2056158238074103
6.42,0.089498926,178.1002,3,1,358.2004,22.388862056451377,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.29916371103461065
10.0,0.025879577,265.2226,3,2,5815.0972,70.44711850601074,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.16087130570738836
15.85,0.121632721,60.622,1,3,2576.646,50.80097057930452,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.3487588292789159
7.39,0.067779712,143.8812,1,3,3134.5864,54.98530224529943,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.2603453706137292
10.195,0.159803853,141.5154,3,1,850.8924,32.26243581040462,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.3997547410600655
9.895,0.028696932,117.0492,3,1,810.9444,31.62318050014938,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.16940168830327518
10.895,0.065041581,196.3794,3,2,3121.2704,54.89102834225996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.25503250969239194
12.15,0.028760013,151.4708,3,2,4815.0656,65.32985567705492,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.16958777373383968
7.905,0.010053105,249.0408,2,1,6258.52,72.54261128197726,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.10026517341529909
9.195,0.048157338,106.1622,2,2,2117.244,46.91374644066239,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.21944780244969417
8.365,0.071958197,38.0506,2,3,796.9626,31.394873471797652,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.2682502506988577
15.1,0.173481304,194.511,1,3,4910.275,65.84370655269281,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.41651086900584
11.94125,0.061082177,180.0344,1,3,892.172,32.903889456108324,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24714808718660963
7.97,0.040071131,87.3514,2,2,1062.6168,35.37502871737322,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.20017774851366474
11.94125,0.012090074,38.2848,2,1,484.7024,25.473552821225425,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.10995487256142858
11.94125,0.15028599,51.0692,1,3,147.8076,15.174526434200835,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3876673703060396
11.94125,0.026015519,255.8356,2,1,2543.356,50.53437102918382,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.161293270163389
17.7,0.195068226,185.4266,2,1,184.4266,16.754957384541402,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4416652872934435
19.35,0.033082215,172.5738,1,2,4865.6664,65.6037215262554,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.1818851698187623
13.65,0.078946455,186.024,1,2,1118.544,36.132146638389806,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.28097411802513056
17.6,0.041700756,164.8526,1,2,2302.3364,48.536888285619284,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.20420762963219566
8.645,0.143422643,95.841,1,3,2027.361,46.093935982362126,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.3787118205179236
15.6,0.105296072,170.1764,1,3,3435.528,57.05333394541532,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.32449356233984056
15.85,0.121531501,59.222,3,1,599.22,27.861228599336993,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.3486136844703604
7.855,0.011324862,189.6188,3,2,2285.0256,48.38856611494333,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.10641833488642828
7.825,0.186357148,254.3698,2,3,5580.7356,69.29969956768291,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.43169103303172746
8.39,0.024205661,114.0176,1,3,2290.352,48.43427710194686,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.15558168594021599
12.85,0.033230816,172.3422,2,3,1207.0954,37.284694803335526,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.1822932143553347
11.94125,0.113720344,89.9804,1,3,643.1628,28.702284143202718,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3372244712354072
19.0,0.112556507,104.9622,1,2,1587.933,41.72416232896371,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.3354944217121948
7.76,0.059352241,101.87,1,3,1697.79,42.88013045747085,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.24362315366155163
11.8,0.014087057,180.3344,1,3,1427.4752,39.943683474592646,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.11868890849611854
16.75,0.045230944,187.9556,2,1,4693.89,64.66674177112269,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.21267567797000203
11.94125,0.031382044,171.3764,2,1,3091.9752,54.68275136229052,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17714977843621482
15.5,0.12639886,177.0028,2,2,2479.4392,50.01641861193295,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.3555261734387498
6.055,0.025403898,160.992,1,2,2716.464,51.898138537039436,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.1593860031495865
11.94125,0.039057677,155.963,2,1,3285.723,56.03846395290163,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1976301520517555
6.305,0.123115764,95.6436,1,3,661.8052,29.048410107391916,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.3508785601885644
20.85,0.039624006,117.2808,2,3,1523.3504,41.021483088359055,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.19905779562730017
20.75,0.040421193,122.173,2,1,369.519,22.689845687778515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.20105022506826498
8.895,0.105274111,39.9138,2,3,690.4346,29.568473493215837,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.3244597216913064
19.6,0.033970195,55.1614,2,2,1381.535,39.411421612438595,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.18431005127230582
19.7,0.053212652,57.893,1,2,622.523,28.31179650577497,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.23067867695129518
9.8,0.024378706,114.5492,1,2,1274.3412,38.125615827532314,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.15613681820762199
11.94125,0.009714595,120.0414,1,3,487.3656,25.53281765970759,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09856264505379307
12.15,0.131383762,246.046,2,3,1231.73,37.59602213891652,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.36246898074180084
8.75,0.07461309,187.4556,1,2,3755.112,59.13083849138478,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.2731539675714047
11.94125,0.028459761,149.9708,2,1,4363.6532,62.80433268382734,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.16870021043258956
8.75,0.074627201,187.8556,1,3,1314.2892,38.61230498128378,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.27317979610505605
13.3,0.063695084,151.0708,1,2,1805.6496,43.97113193473461,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.2523788501439849
11.94125,0.045797829,178.5344,2,1,2854.9504,52.95112386088208,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.21400427332181943
8.31,0.115857223,179.1028,2,3,3896.2616,60.01377230144558,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.3403780589285978
16.75,0.024832806,38.7822,3,1,667.7974,29.158389036281232,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.15758428221113932
19.75,0.034027909,212.0902,2,1,3185.853,55.34597465535029,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.18446655252375702
